SiSoftware Sandra

Benchmark Results
Inter-Core Bandwidth : 154.77GB/s
Results Interpretation : Higher Scores mean Better Performance.
Binary Numeral System (base 2) : 1GB(/s) = 1024MB(/s), 1MB(/s) = 1024kB(/s), 1kB(/s) = 1024 bytes(/s), etc.

Benchmark Results
Inter-Core Latency : 56.3ns
Results Interpretation : Lower Scores mean Better Performance.
Decimal Numeral System (base 10) : 1s = 1000ms, 1ms = 1000µs, 1µs = 1000ns, etc.

Performance per Thread
Inter-Core Bandwidth : 4.84GB/s
No. Threads : 32
Results Interpretation : Higher Scores mean Better Performance.
Binary Numeral System (base 2) : 1GB(/s) = 1024MB(/s), 1MB(/s) = 1024kB(/s), 1kB(/s) = 1024 bytes(/s), etc.

Performance vs. Power
Processor(s) Power : 143.430W
Inter-Core Bandwidth : 1104.97MB/s/W
Results Interpretation : Higher Scores mean Better Performance.
Inter-Core Latency : 3.93ns/W
Results Interpretation : Lower Scores mean Better Performance.

Capacity vs. Power
Total Cache Size : 517.60kB/W
Results Interpretation : Higher Scores mean Better Performance.

Performance vs. Speed
Inter-Core Bandwidth : 33.97MB/s/MHz
Results Interpretation : Higher Scores mean Better Performance.
Inter-Core Latency : 0.12ns/MHz
Results Interpretation : Lower Scores mean Better Performance.

Detailed Results
Processor Affinity : U0-U1 U2-U3 U4-U5 U6-U7 U8-U9 U10-U11 U12-U13 U14-U15 U16-U17 U18-U19 U20-U21 U22-U23 U24-U25 U26-U27 U28-U29 U30-U31 
U0-U2 Data Latency : 25.8ns
U0-U4 Data Latency : 25.9ns
U0-U6 Data Latency : 26.4ns
U0-U8 Data Latency : 73.1ns
U0-U10 Data Latency : 63.8ns
U0-U12 Data Latency : 67.4ns
U0-U14 Data Latency : 67.1ns
U0-U16 Data Latency : 61.4ns
U0-U18 Data Latency : 61.9ns
U0-U20 Data Latency : 65.0ns
U0-U22 Data Latency : 63.7ns
U0-U24 Data Latency : 65.0ns
U0-U26 Data Latency : 64.1ns
U0-U28 Data Latency : 59.1ns
U0-U30 Data Latency : 69.1ns
U0-U1 Data Latency : 11.4ns
U0-U3 Data Latency : 26.9ns
U0-U5 Data Latency : 26.1ns
U0-U7 Data Latency : 26.7ns
U0-U9 Data Latency : 71.1ns
U0-U11 Data Latency : 69.5ns
U0-U13 Data Latency : 69.1ns
U0-U15 Data Latency : 67.4ns
U0-U17 Data Latency : 58.1ns
U0-U19 Data Latency : 67.5ns
U0-U21 Data Latency : 66.5ns
U0-U23 Data Latency : 66.5ns
U0-U25 Data Latency : 55.6ns
U0-U27 Data Latency : 68.2ns
U0-U29 Data Latency : 69.7ns
U0-U31 Data Latency : 55.4ns
U2-U4 Data Latency : 26.5ns
U2-U6 Data Latency : 26.5ns
U2-U8 Data Latency : 68.8ns
U2-U10 Data Latency : 65.7ns
U2-U12 Data Latency : 69.5ns
U2-U14 Data Latency : 64.5ns
U2-U16 Data Latency : 63.7ns
U2-U18 Data Latency : 62.3ns
U2-U20 Data Latency : 65.8ns
U2-U22 Data Latency : 61.1ns
U2-U24 Data Latency : 61.8ns
U2-U26 Data Latency : 64.6ns
U2-U28 Data Latency : 67.0ns
U2-U30 Data Latency : 64.4ns
U2-U1 Data Latency : 26.4ns
U2-U3 Data Latency : 9.5ns
U2-U5 Data Latency : 26.5ns
U2-U7 Data Latency : 25.6ns
U2-U9 Data Latency : 65.9ns
U2-U11 Data Latency : 69.7ns
U2-U13 Data Latency : 63.7ns
U2-U15 Data Latency : 69.1ns
U2-U17 Data Latency : 62.3ns
U2-U19 Data Latency : 65.0ns
U2-U21 Data Latency : 63.1ns
U2-U23 Data Latency : 60.7ns
U2-U25 Data Latency : 64.2ns
U2-U27 Data Latency : 62.4ns
U2-U29 Data Latency : 63.8ns
U2-U31 Data Latency : 64.8ns
U4-U6 Data Latency : 26.5ns
U4-U8 Data Latency : 66.6ns
U4-U10 Data Latency : 64.2ns
U4-U12 Data Latency : 64.5ns
U4-U14 Data Latency : 67.6ns
U4-U16 Data Latency : 63.1ns
U4-U18 Data Latency : 66.0ns
U4-U20 Data Latency : 71.5ns
U4-U22 Data Latency : 63.6ns
U4-U24 Data Latency : 59.5ns
U4-U26 Data Latency : 67.4ns
U4-U28 Data Latency : 67.6ns
U4-U30 Data Latency : 58.8ns
U4-U1 Data Latency : 26.0ns
U4-U3 Data Latency : 26.5ns
U4-U5 Data Latency : 10.7ns
U4-U7 Data Latency : 26.8ns
U4-U9 Data Latency : 69.4ns
U4-U11 Data Latency : 68.9ns
U4-U13 Data Latency : 70.0ns
U4-U15 Data Latency : 68.9ns
U4-U17 Data Latency : 66.7ns
U4-U19 Data Latency : 68.5ns
U4-U21 Data Latency : 65.3ns
U4-U23 Data Latency : 65.7ns
U4-U25 Data Latency : 62.1ns
U4-U27 Data Latency : 65.3ns
U4-U29 Data Latency : 68.2ns
U4-U31 Data Latency : 62.3ns
U6-U8 Data Latency : 59.4ns
U6-U10 Data Latency : 66.7ns
U6-U12 Data Latency : 67.4ns
U6-U14 Data Latency : 68.8ns
U6-U16 Data Latency : 58.6ns
U6-U18 Data Latency : 62.8ns
U6-U20 Data Latency : 66.3ns
U6-U22 Data Latency : 63.0ns
U6-U24 Data Latency : 56.5ns
U6-U26 Data Latency : 63.5ns
U6-U28 Data Latency : 65.6ns
U6-U30 Data Latency : 56.3ns
U6-U1 Data Latency : 26.6ns
U6-U3 Data Latency : 26.7ns
U6-U5 Data Latency : 26.4ns
U6-U7 Data Latency : 10.4ns
U6-U9 Data Latency : 69.1ns
U6-U11 Data Latency : 68.2ns
U6-U13 Data Latency : 64.1ns
U6-U15 Data Latency : 67.3ns
U6-U17 Data Latency : 61.9ns
U6-U19 Data Latency : 60.2ns
U6-U21 Data Latency : 62.8ns
U6-U23 Data Latency : 61.4ns
U6-U25 Data Latency : 59.4ns
U6-U27 Data Latency : 57.7ns
U6-U29 Data Latency : 66.7ns
U6-U31 Data Latency : 64.4ns
U8-U10 Data Latency : 26.3ns
U8-U12 Data Latency : 26.4ns
U8-U14 Data Latency : 26.6ns
U8-U16 Data Latency : 58.2ns
U8-U18 Data Latency : 68.0ns
U8-U20 Data Latency : 64.8ns
U8-U22 Data Latency : 55.6ns
U8-U24 Data Latency : 62.3ns
U8-U26 Data Latency : 63.7ns
U8-U28 Data Latency : 65.4ns
U8-U30 Data Latency : 58.5ns
U8-U1 Data Latency : 64.1ns
U8-U3 Data Latency : 67.3ns
U8-U5 Data Latency : 68.9ns
U8-U7 Data Latency : 63.4ns
U8-U9 Data Latency : 10.7ns
U8-U11 Data Latency : 26.8ns
U8-U13 Data Latency : 26.6ns
U8-U15 Data Latency : 26.7ns
U8-U17 Data Latency : 63.6ns
U8-U19 Data Latency : 63.9ns
U8-U21 Data Latency : 66.6ns
U8-U23 Data Latency : 61.3ns
U8-U25 Data Latency : 68.8ns
U8-U27 Data Latency : 64.8ns
U8-U29 Data Latency : 52.7ns
U8-U31 Data Latency : 60.2ns
U10-U12 Data Latency : 26.5ns
U10-U14 Data Latency : 26.2ns
U10-U16 Data Latency : 65.5ns
U10-U18 Data Latency : 67.7ns
U10-U20 Data Latency : 61.6ns
U10-U22 Data Latency : 61.8ns
U10-U24 Data Latency : 66.2ns
U10-U26 Data Latency : 63.9ns
U10-U28 Data Latency : 64.2ns
U10-U30 Data Latency : 56.4ns
U10-U1 Data Latency : 64.9ns
U10-U3 Data Latency : 68.4ns
U10-U5 Data Latency : 64.9ns
U10-U7 Data Latency : 68.7ns
U10-U9 Data Latency : 25.7ns
U10-U11 Data Latency : 10.5ns
U10-U13 Data Latency : 26.6ns
U10-U15 Data Latency : 26.7ns
U10-U17 Data Latency : 63.1ns
U10-U19 Data Latency : 60.2ns
U10-U21 Data Latency : 63.0ns
U10-U23 Data Latency : 61.2ns
U10-U25 Data Latency : 60.8ns
U10-U27 Data Latency : 56.2ns
U10-U29 Data Latency : 65.6ns
U10-U31 Data Latency : 65.8ns
U12-U14 Data Latency : 26.7ns
U12-U16 Data Latency : 60.0ns
U12-U18 Data Latency : 60.0ns
U12-U20 Data Latency : 61.2ns
U12-U22 Data Latency : 59.7ns
U12-U24 Data Latency : 56.0ns
U12-U26 Data Latency : 61.5ns
U12-U28 Data Latency : 72.3ns
U12-U30 Data Latency : 67.5ns
U12-U1 Data Latency : 66.8ns
U12-U3 Data Latency : 68.1ns
U12-U5 Data Latency : 66.5ns
U12-U7 Data Latency : 67.3ns
U12-U9 Data Latency : 26.3ns
U12-U11 Data Latency : 26.5ns
U12-U13 Data Latency : 11.0ns
U12-U15 Data Latency : 26.7ns
U12-U17 Data Latency : 61.6ns
U12-U19 Data Latency : 69.3ns
U12-U21 Data Latency : 70.1ns
U12-U23 Data Latency : 67.9ns
U12-U25 Data Latency : 71.2ns
U12-U27 Data Latency : 68.8ns
U12-U29 Data Latency : 68.9ns
U12-U31 Data Latency : 65.2ns
U14-U16 Data Latency : 72.9ns
U14-U18 Data Latency : 59.6ns
U14-U20 Data Latency : 59.7ns
U14-U22 Data Latency : 64.4ns
U14-U24 Data Latency : 64.2ns
U14-U26 Data Latency : 64.0ns
U14-U28 Data Latency : 67.0ns
U14-U30 Data Latency : 65.4ns
U14-U1 Data Latency : 64.3ns
U14-U3 Data Latency : 69.2ns
U14-U5 Data Latency : 68.2ns
U14-U7 Data Latency : 67.8ns
U14-U9 Data Latency : 26.6ns
U14-U11 Data Latency : 26.5ns
U14-U13 Data Latency : 26.7ns
U14-U15 Data Latency : 10.8ns
U14-U17 Data Latency : 65.9ns
U14-U19 Data Latency : 60.2ns
U14-U21 Data Latency : 69.5ns
U14-U23 Data Latency : 65.8ns
U14-U25 Data Latency : 66.6ns
U14-U27 Data Latency : 62.7ns
U14-U29 Data Latency : 63.1ns
U14-U31 Data Latency : 66.7ns
U16-U18 Data Latency : 27.0ns
U16-U20 Data Latency : 27.3ns
U16-U22 Data Latency : 27.5ns
U16-U24 Data Latency : 70.5ns
U16-U26 Data Latency : 65.2ns
U16-U28 Data Latency : 65.7ns
U16-U30 Data Latency : 64.1ns
U16-U1 Data Latency : 63.2ns
U16-U3 Data Latency : 68.1ns
U16-U5 Data Latency : 60.0ns
U16-U7 Data Latency : 65.7ns
U16-U9 Data Latency : 64.5ns
U16-U11 Data Latency : 66.1ns
U16-U13 Data Latency : 61.7ns
U16-U15 Data Latency : 66.0ns
U16-U17 Data Latency : 11.3ns
U16-U19 Data Latency : 26.9ns
U16-U21 Data Latency : 27.4ns
U16-U23 Data Latency : 27.5ns
U16-U25 Data Latency : 70.8ns
